Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-07-07,1557.25,1557.25,1557.25,1557.25,0,0,0
1998-07-08,1573.45,1573.45,1573.45,1573.45,0,0,0
1998-07-09,1562.92,1562.92,1562.92,1562.92,0,0,0
1998-07-10,1570.71,1570.71,1570.71,1570.71,0,0,0
1998-07-13,1571.93,1571.93,1571.93,1571.93,0,0,0
1998-07-14,1588.67,1588.67,1588.67,1588.67,0,0,0
1998-07-15,1584.94,1584.94,1584.94,1584.94,0,0,0
1998-07-16,1597.36,1597.36,1597.36,1597.36,0,0,0
1998-07-17,1601.08,1601.08,1601.08,1601.08,0,0,0
1998-07-20,1597.52,1597.52,1597.52,1597.52,0,0,0
1998-07-21,1571.85,1571.85,1571.85,1571.85,0,0,0
1998-07-22,1570.63,1570.63,1570.63,1570.63,0,0,0
1998-07-23,1537.82,1537.82,1537.82,1537.82,0,0,0
1998-07-24,1539.23,1539.23,1539.23,1539.23,0,0,0
1998-07-27,1547.97,1547.97,1547.97,1547.97,0,0,0
1998-07-28,1524.99,1524.99,1524.99,1524.99,0,0,0
1998-07-29,1518.5,1518.5,1518.5,1518.5,0,0,0
1998-07-30,1542.66,1542.66,1542.66,1542.66,0,0,0
1998-07-31,1512.59,1512.59,1512.59,1512.59,0,0,0
1998-08-03,1501.53,1501.53,1501.53,1501.53,0,0,0
1998-08-04,1447.15,1447.15,1447.15,1447.15,0,0,0
1998-08-05,1459.92,1459.92,1459.92,1459.92,0,0,0
1998-08-06,1471.12,1471.12,1471.12,1471.12,0,0,0
1998-08-07,1470.88,1470.88,1470.88,1470.88,0,0,0
1998-08-10,1462.45,1462.45,1462.45,1462.45,0,0,0
1998-08-11,1443.61,1443.61,1443.61,1443.61,0,0,0
1998-08-12,1464.47,1464.47,1464.47,1464.47,0,0,0
1998-08-13,1451.93,1451.93,1451.93,1451.93,0,0,0
1998-08-14,1435.58,1435.58,1435.58,1435.58,0,0,0
1998-08-17,1463.88,1463.88,1463.88,1463.88,0,0,0
1998-08-18,1487.71,1487.71,1487.71,1487.71,0,0,0
1998-08-19,1483.56,1483.56,1483.56,1483.56,0,0,0
1998-08-20,1474.92,1474.92,1474.92,1474.92,0,0,0
1998-08-21,1460.95,1460.95,1460.95,1460.95,0,0,0
1998-08-24,1470.28,1470.28,1470.28,1470.28,0,0,0
1998-08-25,1476.64,1476.64,1476.64,1476.64,0,0,0
1998-08-26,1465.06,1465.06,1465.06,1465.06,0,0,0
1998-08-27,1408.98,1408.98,1408.98,1408.98,0,0,0
1998-08-28,1388.3,1388.3,1388.3,1388.3,0,0,0
1998-08-31,1293.9,1293.9,1293.9,1293.9,0,0,0
1998-09-01,1343.94,1343.94,1343.94,1343.94,0,0,0
1998-09-02,1339.14,1339.14,1339.14,1339.14,0,0,0
1998-09-03,1328.07,1328.07,1328.07,1328.07,0,0,0
1998-09-04,1316.81,1316.81,1316.81,1316.81,0,0,0
1998-09-08,1383.92,1383.92,1383.92,1383.92,0,0,0
1998-09-09,1360.66,1360.66,1360.66,1360.66,0,0,0
1998-09-10,1325.51,1325.51,1325.51,1325.51,0,0,0
1998-09-11,1364.95,1364.95,1364.95,1364.95,0,0,0
1998-09-14,1393.17,1393.17,1393.17,1393.17,0,0,0
1998-09-15,1403.94,1403.94,1403.94,1403.94,0,0,0
1998-09-16,1414.59,1414.59,1414.59,1414.59,0,0,0
1998-09-17,1378.68,1378.68,1378.68,1378.68,0,0,0
1998-09-18,1380.34,1380.34,1380.34,1380.34,0,0,0
1998-09-21,1385.51,1385.51,1385.51,1385.51,0,0,0
1998-09-22,1393.28,1393.28,1393.28,1393.28,0,0,0
1998-09-23,1442.66,1442.66,1442.66,1442.66,0,0,0
1998-09-24,1411.04,1411.04,1411.04,1411.04,0,0,0
1998-09-25,1413.79,1413.79,1413.79,1413.79,0,0,0
1998-09-28,1419.57,1419.57,1419.57,1419.57,0,0,0
1998-09-29,1420.04,1420.04,1420.04,1420.04,0,0,0
1998-09-30,1376.79,1376.79,1376.79,1376.79,0,0,0
1998-10-01,1335.36,1335.36,1335.36,1335.36,0,0,0
1998-10-02,1357.38,1357.38,1357.38,1357.38,0,0,0
1998-10-05,1338.37,1338.37,1338.37,1338.37,0,0,0
1998-10-06,1333.07,1333.07,1333.07,1333.07,0,0,0
1998-10-07,1314.63,1314.63,1314.63,1314.63,0,0,0
1998-10-08,1299.44,1299.44,1299.44,1299.44,0,0,0
1998-10-09,1333.23,1333.23,1333.23,1333.23,0,0,0
1998-10-12,1351.27,1351.27,1351.27,1351.27,0,0,0
1998-10-13,1347.41,1347.41,1347.41,1347.41,0,0,0
1998-10-14,1361.97,1361.97,1361.97,1361.97,0,0,0
1998-10-15,1418.81,1418.81,1418.81,1418.81,0,0,0
1998-10-16,1430.92,1430.92,1430.92,1430.92,0,0,0
1998-10-19,1439.0,1439.0,1439.0,1439.0,0,0,0
1998-10-20,1441.09,1441.09,1441.09,1441.09,0,0,0
1998-10-21,1449.3,1449.3,1449.3,1449.3,0,0,0
1998-10-22,1460.93,1460.93,1460.93,1460.93,0,0,0
1998-10-23,1450.37,1450.37,1450.37,1450.37,0,0,0
1998-10-26,1452.6,1452.6,1452.6,1452.6,0,0,0
1998-10-27,1443.15,1443.15,1443.15,1443.15,0,0,0
1998-10-28,1447.15,1447.15,1447.15,1447.15,0,0,0
1998-10-29,1471.51,1471.51,1471.51,1471.51,0,0,0
1998-10-30,1488.78,1488.78,1488.78,1488.78,0,0,0
1998-11-02,1506.31,1506.31,1506.31,1506.31,0,0,0
1998-11-03,1505.32,1505.32,1505.32,1505.32,0,0,0
1998-11-04,1516.15,1516.15,1516.15,1516.15,0,0,0
1998-11-05,1536.85,1536.85,1536.85,1536.85,0,0,0
1998-11-06,1546.7,1546.7,1546.7,1546.7,0,0,0
1998-11-09,1532.29,1532.29,1532.29,1532.29,0,0,0
1998-11-10,1529.92,1529.92,1529.92,1529.92,0,0,0
1998-11-11,1520.04,1520.04,1520.04,1520.04,0,0,0
1998-11-12,1515.75,1515.75,1515.75,1515.75,0,0,0
1998-11-13,1526.71,1526.71,1526.71,1526.71,0,0,0
1998-11-16,1540.51,1540.51,1540.51,1540.51,0,0,0
1998-11-17,1545.21,1545.21,1545.21,1545.21,0,0,0
1998-11-18,1552.4,1552.4,1552.4,1552.4,0,0,0
1998-11-19,1563.52,1563.52,1563.52,1563.52,0,0,0
1998-11-20,1578.37,1578.37,1578.37,1578.37,0,0,0
1998-11-23,1611.84,1611.84,1611.84,1611.84,0,0,0
1998-11-24,1604.87,1604.87,1604.87,1604.87,0,0,0
1998-11-25,1610.28,1610.28,1610.28,1610.28,0,0,0
1998-11-27,1617.95,1617.95,1617.95,1617.95,0,0,0
1998-11-30,1579.02,1579.02,1579.02,1579.02,0,0,0
1998-12-01,1594.87,1594.87,1594.87,1594.87,0,0,0
1998-12-02,1589.77,1589.77,1589.77,1589.77,0,0,0
1998-12-03,1561.16,1561.16,1561.16,1561.16,0,0,0
1998-12-04,1597.27,1597.27,1597.27,1597.27,0,0,0
1998-12-07,1612.18,1612.18,1612.18,1612.18,0,0,0
1998-12-08,1603.69,1603.69,1603.69,1603.69,0,0,0
1998-12-09,1606.68,1606.68,1606.68,1606.68,0,0,0
1998-12-10,1581.65,1581.65,1581.65,1581.65,0,0,0
